freq,indic_ur,cities\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE2001I,CZ001F	: 	98 	: 	: 	: 	: 	98 	: 	: 	: 	: 	98 	: 	: 	: u	: 	: 	92 	91 	91 	91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ002F	: 	98 	: 	: 	: 	: 	99 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	96 	96 	96 	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ003F	: 	96 	: 	: 	: 	: 	98 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	98 	98 	98 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ004F	: 	98 	: 	: 	: 	: 	99 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	96 	95 	95 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ005F	: 	97 	: 	: 	: 	: 	98 	: 	: 	: 	: 	98 	: 	: 	: u	: 	: 	96 	198 	95 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101 	: 	: 	: u	: 	: 	98 	98 	98 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ007F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	: 	: 	: u	: 	: 	96 	95 	95 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ008F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	97 	97 	97 	97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ009F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	97 	97 	97 	97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ010F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	97 	96 	97 	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
